OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
11731,Destroyed (>50%),625.0,Mund,Road,,CA,,LNU,Napa,St. Helena ,9/27/2020 12:00:00 AM,Fire,,Mobile Home Single Wide,Single Residence,,Metal,No Eaves,No Vents,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,97780.0,,625 MUND RD TRLR 1 SAINT HELENA CA 94574,38.5354903404375,-122.464818157646
131231,Destroyed (>50%),526.0,El Medio,Avenue,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,<30',275968.0,1949.0,"526 EL MEDIO AVE, PACIFIC PALISADES, CA 90272",34.0425487,-118.5344208
109356,No Damage,1170.0,N Altadena ,Drive,Pasadena,CA,91107.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Multi Family Residence Multi Story,Multiple Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,438190.0,1950.0,"1168 N ALTADENA DR, PASADENA, CA 91107",34.1663015,-118.097835
77625,No Damage,428.0,-750 Constantia ,Road,Doyle,CA,96109.0,LMU,Lassen,,7/4/2021 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,0.0,Metal,No Eaves,No Vents,Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,22164.0,,427-500 CONSTANTIA RD DOYLE CA 96109,39.9626232280798,-120.07535363796
113110,No Damage,695.0,E Poppyfields ,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,254471.0,1924.0,"695 E POPPYFIELDS DR, ALTADENA, CA 91001",34.1945361,-118.1325575
55290,No Damage,,,,Unincorporated,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,, , , , , , , , ,,,,122744.0,1997.0,3180 INDIAN SPRINGS RD PARADISE CA 95969,39.7250184933556,-121.662794236554
21055,No Damage,25.0,Swanson ,Road,,CA,,CZU,Santa Cruz,Davenport ,8/16/2020 12:00:00 AM,Fire,,Multi Family Residence Single Story,Multiple Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,37.0308555362353,-122.218177429195
59247,Destroyed (>50%),12250.0,Dunbar,Road,Unincorporated,CA,0.0,LNU,Sonoma,Glenn Ellen,10/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Not Applicable,Unknown,Fire Resistant,Unknown, , , ,,,,3054189.0,1880.0,12250 DUNBAR RD,38.3809303692588,-122.521568352558
31435,Destroyed (>50%),6432.0,Clark,Road,Paradise Northeast A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,<30',41223.0,1948.0,6434  CLARK RD   PARADISE CA 95969,39.771221070374,-121.595916669589
112791,No Damage,1277.0,Boston,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,<30',1041277.0,1919.0,"1277 BOSTON ST, ALTADENA, CA 91001",34.1822655,-118.124204
95346,No Damage,33925.0,Ponderosa ,Way,Paynes Creek,CA,96075.0,TGU,Tehama,,7/24/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,,181747.0,2008.0,"33925 PONDEROSA WAY, PAYNES CREEK, CA 96075",40.3450518,-121.7645455
47410,Destroyed (>50%),1605.0,Clark,Road,Paradise Northeast A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,Wood,Combustible,Non Combustible,,<30',9446.0,1969.0,1605  RAYLINN LN   PARADISE CA 95969,39.7927986008115,-121.583934883736
75398,No Damage,3219.0,Rio Lindo ,Avenue,Unincorporated,CA,,LNU,Sonoma,Healdsburg ,10/23/2019 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2805350.0,0.0,3200 RIO LINDO AVE HEALDSBURG CA 95448,38.6274516788644,-122.834961193752
47357,Destroyed (>50%),1480.0,Patrick,Drive,Paradise Northwest A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Double Wide,Single Residence,,Metal,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,Wood,Non Combustible,No Fence,,<30',2756731.0,1900.0,1400  KILCREASE CIR   PARADISE CA 95969,39.783464349854,-121.590606252736
